what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874184549
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874195812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874202115
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874221225
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874224626
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874225546
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353874227574
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874263051
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874301537
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1353874416992
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1353874426087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874426321
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874429503
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1353874429535
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1353874429535
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874440439
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353874451016
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874452398
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874453926
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.line,1353874453942
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353874455206
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874455611
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876231005
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876234796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876236371
