what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353883789094
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883790467
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891392486
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353891392518
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891395513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891397088
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891397120
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891407384
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353891407416
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891410364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891411269
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353891413172
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353891434756
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353891437532
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891562591
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891603572
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891733193
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891878397
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353891880035
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891881096
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891881954
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353891881985
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353891886104
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895554837
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895558503
