what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1353906527546
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1353906527546
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1353906527546
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1353906527546
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1353906527546
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1353906527561
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1353906527561
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1353906529714
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353906532007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906532179
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906533614
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906533661
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353906533864
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906540166
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1353906542444
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353906542506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906546094
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906546874
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353906549120
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353906550119
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1353906550166
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353907422281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353936759913
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353936763111
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353936766232
