what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353874069378
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353874071530
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874072811
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874073793
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874073825
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874078583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874099487
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874107458
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874107521
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874107536
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874113308
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874113636
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874113963
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353874115976
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874120281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874126211
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874126243
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353874128817
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874131375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353874146710
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353874147421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874147936
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874178356
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874182771
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874184128
