what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1353939592707
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1353939592707
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1353939592707
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1353939592707
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1353939592707
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1353939592722
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1353939592722
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353939592878
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1353939594907
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939595063
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939600538
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939600585
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939607294
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353939609790
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939612879
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939613659
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353939616436
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353939617543
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1353939617590
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353939800202
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939903137
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939958749
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353939958780
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939964474
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353939973525
