what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895559861
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895559907
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895566912
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895571358
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895572372
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353895574306
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895685849
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895835687
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353895835718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895837138
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895877448
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353895921815
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896227310
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353896228994
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353896235125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1353896247294
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1353896254158
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1353896255671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896325825
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896325887
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896325887
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896456556
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353896460347
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353896461137
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353896461480
