what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876236481
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876245856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876252408
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876253578
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353876254389
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353876277012
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353877021062
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353877021093
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353877023215
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353877026351
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353877026366
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353877026397
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353877030001
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878273183
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878275273
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878276630
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878276677
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878283182
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878287394
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878288190
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353878290109
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353878312512
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353878530085
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353879992955
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353880044669
