what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871819975
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1353871823391
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353871842969
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871843297
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871846557
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871899691
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871901297
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353871902452
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353871903302
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871903599
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871919994
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353871944112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871948542
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871949338
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353871951241
activated,perspective,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui.debugPerspective,1353871966487
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1353871978624
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1353871978671
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1353872016938
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872028076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872029839
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353872029854
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872033349
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.openEditorDropDown,1353872033364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872035205
