what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901640906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901647708
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901650017
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901651764
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901651795
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901658113
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901662107
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901662902
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353901664805
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353901670766
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353901673170
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353901910820
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901984234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902000786
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353902001956
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902008211
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902710324
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902714676
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902719434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902798433
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353902799197
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353902807029
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353902809434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353903114788
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353904133025
