what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906430295
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906456956
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906460996
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906461745
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906462572
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906470060
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353906473102
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906475161
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906476549
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353906476783
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353906477142
stopped,bundle,com.altera.debug.cdi.gdb.plugin,9.1.0.222,com.altera.debug.cdi.gdb.plugin,1353906477158
stopped,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1353906477158
stopped,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1353906477158
stopped,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1353906477158
stopped,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353906477158
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1353906477158
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1353906477158
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1353906477158
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200809120802,org.eclipse.cdt.mylyn.ui,1353906477158
stopped,bundle,com.altera.sbtgui.flash.plugin,9.1.0.222,com.altera.sbtgui.flash.plugin,1353906477158
stopped,bundle,com.altera.sbtgui.gprof,9.1.0.222,com.altera.sbtgui.gprof,1353906477158
