what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1353937107340
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1353937107340
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1353937107340
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1353937107340
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1353937107355
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1353937107355
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1353937107355
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1353937109087
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353937115375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937116342
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937118776
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937118823
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937125376
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353937128231
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1353937131836
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937132054
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937648072
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937650974
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937651785
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353937653923
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353937654937
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1353937654968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937827551
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353937865028
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353938006870
