what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353880045785
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880046206
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880331027
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880333070
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880334677
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880334708
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880341135
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880345285
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880346127
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353880348077
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353880367237
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880397158
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880495407
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353880497310
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1353880501818
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353880520070
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880868918
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880869822
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1353880869838
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880870181
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353880984404
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353880995870
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1353881014403
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1353881022702
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1353881023046
