what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353870468843
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870469903
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353870471401
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870471604
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353870476315
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870477222
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870478438
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.line,1353870478454
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353870479218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870479530
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870506862
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353870512368
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870513148
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870514864
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870514911
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870521045
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353870521138
started,bundle,org.eclipse.cdt.debug.ui,5.0.1.200809120802,org.eclipse.cdt.debug.ui,1353870528143
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870528439
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870528611
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870528673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870550342
started,bundle,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui,1353870556192
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870557533
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870627818
