what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1353872446959
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1353872447068
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872449198
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872449198
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872449276
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872573230
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872573620
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872654225
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872661869
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872662727
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353872664770
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353872671386
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353872672479
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1353872678048
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353872684553
activated,perspective,com.altera.sbtgui.ui,9.1.0.222,com.altera.sbtgui.ui.cPerspective,1353872689920
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353872689935
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872694724
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872717797
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872720574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872721432
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872741028
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872985465
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353872985480
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873152892
