what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1353897581511
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897582946
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897582977
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897582993
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897621470
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897625058
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897626431
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897626462
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897632843
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1353897635838
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897638849
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897639660
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353897642000
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1353897643622
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1353897643669
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897694013
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897697180
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353897801435
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353898547911
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353898626550
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353898925072
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353898928067
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353898956350
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899235098
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899240480
