what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899241260
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353899249311
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353899251793
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353899259016
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353899261247
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899362537
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899427246
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353899499521
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900681698
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900685348
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900686456
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900686924
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900693133
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900697984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900698858
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1353900706846
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353900709297
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353900908650
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353900922237
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901445571
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353901447661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901451124
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901637349
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353901639143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353901639143
