what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870178269
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870222885
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870230186
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1353870231715
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1353870236410
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353870239421
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870241901
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353870242744
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353870243555
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870243929
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870302086
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353870331633
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353870331726
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870334987
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1353870342007
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353870349136
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353870352693
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870353036
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870359931
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353870396856
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353870397691
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870397987
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353870425428
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1353870434897
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353870434944
