what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353871058647
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871183166
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871249934
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871249949
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871250105
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871274129
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871324892
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871396855
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353871400318
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871402003
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871411207
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871566146
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871580560
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871583259
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871583259
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353871604397
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353871606815
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353871613632
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871614890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871617230
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871617261
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871643750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871647915
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353871648695
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353871650660
