what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873268956
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873504755
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873506845
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873530604
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353873530635
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873533131
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873534894
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873534941
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873541867
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873546298
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873547249
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353873549355
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873651039
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873657076
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353873657123
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353873783577
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353873784522
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873784958
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353873799825
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1353874058364
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874063418
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874063855
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353874064760
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353874065602
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353874069331
