what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1353881023311
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1353881028740
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1353881031236
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353881068520
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881071134
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881072600
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881072631
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881099401
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881103535
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881104362
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353881106374
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881705355
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353881714122
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353881714231
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1353881716836
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353882567551
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883456174
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1353883464785
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883468092
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883469059
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1353883609197
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1353883616646
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1353883617458
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883617848
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1353883773868
